PVM peer = seed.btc.petertodd.org:8333  version = 70015   user agent = /Satoshi:0.17.1/   time = 2020-04-11 21:20:12  now = 2020-04-11 21:20:13  since = 1.144801s  services = [12, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(139.216.142.47) = "47.142.216.139.sta.dodo.net.au", V6(::ffff:139.216.142.47) = "47.142.216.139.sta.dodo.net.au" ]    port = 8333   time = 2020-04-07 03:27:27  now = 2020-04-11 21:20:59  since = 410012.439864s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(84.190.142.22) = "p54be8e16.dip0.t-ipconnect.de", V6(::ffff:84.190.142.22) = "p54be8e16.dip0.t-ipconnect.de" ]    port = 8333   time = 2020-03-17 21:40:28  now = 2020-04-11 21:20:59  since = 2158831.902224s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(69.248.217.31) = "c-69-248-217-31.hsd1.nj.comcast.net", V6(::ffff:69.248.217.31) = "c-69-248-217-31.hsd1.nj.comcast.net" ]    port = 8333   time = 2020-03-17 01:05:35  now = 2020-04-11 21:21:00  since = 2232925.12576s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(50.39.239.82) = "50-39-239-82.bvtn.or.frontiernet.net", V6(::ffff:50.39.239.82) = "50-39-239-82.bvtn.or.frontiernet.net" ]    port = 8333   time = 2020-04-09 02:48:51  now = 2020-04-11 21:21:00  since = 239529.33006s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(52.37.151.114) = "ec2-52-37-151-114.us-west-2.compute.amazonaws.com", V6(::ffff:52.37.151.114) = "ec2-52-37-151-114.us-west-2.compute.amazonaws.com" ]    port = 39388   time = 2020-03-20 09:17:31  now = 2020-04-11 21:21:00  since = 1944209.417765s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(64.72.122.65) = "64-72-122-65.ip.jagcom.net", V6(::ffff:64.72.122.65) = "64-72-122-65.ip.jagcom.net" ]    port = 8333   time = 2020-04-10 02:05:17  now = 2020-04-11 21:21:00  since = 155743.614198s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(52.78.163.216) = "ec2-52-78-163-216.ap-northeast-2.compute.amazonaws.com", V6(::ffff:52.78.163.216) = "ec2-52-78-163-216.ap-northeast-2.compute.amazonaws.com" ]    port = 8333   time = 2020-04-11 11:31:16  now = 2020-04-11 21:21:00  since = 35384.781112s  services = [61, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(207.154.221.35) = "207.154.221.35", V6(::ffff:207.154.221.35) = "::ffff:207.154.221.35" ]    port = 9250   time = 2020-04-10 21:49:44  now = 2020-04-11 21:21:01  since = 84677.062789s  services = [13, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(178.17.174.224) = "178-17-174-224.static.as43289.net", V6(::ffff:178.17.174.224) = "178-17-174-224.static.as43289.net" ]    port = 8333   time = 2020-03-27 15:43:33  now = 2020-04-11 21:21:01  since = 1316248.111056s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(173.122.151.190) = "ip-173-122-151-190.ftwttx.spcsdns.net", V6(::ffff:173.122.151.190) = "ip-173-122-151-190.ftwttx.spcsdns.net" ]    port = 8333   time = 2020-04-03 17:13:02  now = 2020-04-11 21:21:01  since = 706079.335668s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
